method,precision,recall,f1_score,accuracy,specificity,true_positives,true_negatives,false_positives,false_negatives,confusion_matrix
Isolation Forest,0.2578125,0.11785714285714285,0.16176470588235295,0.7328125,0.905,33,905,95,247,"[[905, 95], [247, 33]]"
LOF,0.3619047619047619,0.1357142857142857,0.1974025974025974,0.75859375,0.933,38,933,67,242,"[[933, 67], [242, 38]]"
One-Class SVM,0.3333333333333333,0.15,0.20689655172413793,0.7484375,0.916,42,916,84,238,"[[916, 84], [238, 42]]"
Ensemble,0.3107569721115538,0.2785714285714286,0.2937853107344633,0.70703125,0.827,78,827,173,202,"[[827, 173], [202, 78]]"
